iter	Logloss
0	0.5780410909
1	0.5411074612
2	0.5267687996
3	0.5216878196
4	0.5188572535
5	0.5177065129
6	0.5168974665
7	0.5165342913
8	0.5163670025
9	0.516318036
10	0.5162913411
11	0.5162785747
12	0.5162743519
13	0.5162742639
14	0.5162684652
15	0.5162670427
16	0.516266913
17	0.5162668731
18	0.5162667003
19	0.5162663545
20	0.5162645727
21	0.5162645705
22	0.5162639818
23	0.516263615
24	0.5162633782
25	0.5162633505
26	0.5162632127
27	0.5162632111
28	0.516262902
29	0.5162628936
30	0.516262881
31	0.5162628309
32	0.5162628168
33	0.5162627731
34	0.5162627718
35	0.5162627669
36	0.5162627667
37	0.5162627573
38	0.5162627561
39	0.516262755
40	0.5162627542
41	0.516262754
42	0.5162627537
43	0.5162627535
44	0.5162627534
45	0.5162627534
46	0.5162627533
47	0.5162627533
48	0.5162627533
49	0.5162627533
