iter	Passed	Remaining
0	6	297
1	11	264
2	16	254
3	20	234
4	24	219
5	28	207
6	32	201
7	37	195
8	41	190
9	46	184
10	50	178
11	54	174
12	59	169
13	63	163
14	67	157
15	72	154
16	76	149
17	81	144
18	85	139
19	90	135
20	93	129
21	97	123
22	100	118
23	105	114
24	109	109
25	114	105
26	119	101
27	122	96
28	126	91
29	131	87
30	136	83
31	140	79
32	145	74
33	149	70
34	154	66
35	159	61
36	164	57
37	170	53
38	175	49
39	182	45
40	187	41
41	193	36
42	198	32
43	204	27
44	209	23
45	214	18
46	220	14
47	224	9
48	229	4
49	234	0
